Operating Unit,Indicator,Description,Fine Age,Sex,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3
Angola,HTS_TST,Individuals tested for HIV and received their results,<10,Unknown Sex,,,,,,,,,,,,,,,,,,,1
Angola,HTS_TST,Individuals tested for HIV and received their results,Retired Age Band,Female,,,,,,,,,,,,,,,,,,,
Angola,HTS_TST,Individuals tested for HIV and received their results,25-29,Male,1697,1777,1839,1646,1456,1840,1714,1462,1399,1614,2110,1654,1482,1602,1806,1321,1479,1594,1540
Angola,HTS_TST,Individuals tested for HIV and received their results,20-24,Female,5412,5443,5300,4240,5941,7496,5605,6296,6516,8102,8299,7214,7241,7698,8489,7860,8637,10046,9264
Angola,HTS_TST,Individuals tested for HIV and received their results,25-29,Female,5604,5475,5332,4183,4797,6305,4562,5329,5785,6746,6767,6296,6125,6281,7178,6491,7003,8262,7492
Angola,HTS_TST,Individuals tested for HIV and received their results,45-49,Female,548,602,639,511,343,472,299,372,338,348,433,406,392,414,451,345,422,468,444
Angola,HTS_TST,Individuals tested for HIV and received their results,Unknown Age,Female,48,79,90,46,43,34,14,6,,1,,6,5,,,,,,
Angola,HTS_TST,Individuals tested for HIV and received their results,15-19,Male,836,893,849,984,424,492,334,308,320,433,518,467,446,492,452,409,609,624,472
Angola,HTS_TST,Individuals tested for HIV and received their results,9-May,Unknown Sex,1423,1405,1622,1298,344,690,444,707,713,696,745,965,996,813,948,752,960,1393,1285
Angola,HTS_TST,Individuals tested for HIV and received their results,50+,Female,859,864,951,766,574,615,386,490,395,420,523,544,469,558,607,539,619,656,485
Angola,HTS_TST,Individuals tested for HIV and received their results,30-34,Male,1630,1618,1717,1621,1261,1675,1595,1376,1402,1389,1854,1460,1342,1416,1501,1273,1303,1441,1438
Angola,HTS_TST,Individuals tested for HIV and received their results,30-34,Female,3969,4070,4006,3174,3168,4088,2964,3565,3956,4430,4607,4186,3879,4126,4455,4135,4586,5627,4927
Angola,HTS_TST,Individuals tested for HIV and received their results,15-19,Female,3114,3034,3072,2353,4008,4542,3422,3514,3167,4684,5021,4272,4451,4685,5295,4811,5938,6676,6103
Angola,HTS_TST,Individuals tested for HIV and received their results,Retired Age Band,Male,,,,,,,,,,,,,,,,,,,
Angola,HTS_TST,Individuals tested for HIV and received their results,14-Oct,Unknown Sex,1239,1222,1356,1009,337,587,307,513,584,506,724,674,767,682,843,634,706,1043,971
Angola,HTS_TST,Individuals tested for HIV and received their results,35-39,Male,1065,1122,1148,1016,850,1160,984,960,851,910,1321,1106,979,988,1118,810,930,1070,997
Angola,HTS_TST,Individuals tested for HIV and received their results,<05,Unknown Sex,,,,,,,,,,,,,,,,,,,
Angola,HTS_TST,Individuals tested for HIV and received their results,35-39,Female,2673,2717,2581,2118,1904,2396,1769,2098,2102,2425,2571,2360,2292,2419,2790,2483,2804,3183,2923
Angola,HTS_TST,Individuals tested for HIV and received their results,Retired Age Band,Unknown Sex,,,,,,,,,,,,,,,,,,,
Angola,HTS_TST,Individuals tested for HIV and received their results,20-24,Male,1795,1806,1770,1904,1402,1803,1543,1311,1295,1478,1850,1661,1575,1610,1618,1205,1412,1532,1466
Angola,HTS_TST,Individuals tested for HIV and received their results,40-44,Male,941,834,957,793,593,844,713,647,574,638,852,727,636,666,765,543,547,621,623
Angola,HTS_TST,Individuals tested for HIV and received their results,50+,Male,902,931,1004,920,757,914,675,766,623,680,920,929,774,819,914,742,803,800,864
Angola,HTS_TST,Individuals tested for HIV and received their results,45-49,Male,602,539,565,521,456,568,486,468,418,412,555,512,450,493,521,365,407,407,489
Angola,HTS_TST,Individuals tested for HIV and received their results,40-44,Female,1247,1210,1275,1175,796,1105,709,864,997,966,1025,1016,903,887,1046,848,1025,1176,1147
Angola,HTS_TST,Individuals tested for HIV and received their results,4-Jan,Unknown Sex,1895,2018,2042,1480,722,814,552,683,753,788,980,1234,1094,1056,1207,1091,1376,2142,1621
Angola,HTS_TST,Individuals tested for HIV and received their results,<01,Unknown Sex,436,534,406,245,40,16,1,,,4,4,1,10,,,,1,9,42
Angola,HTS_TST,Individuals tested for HIV and received their results,Unknown Age,Male,23,33,30,36,668,16,8,16,,1,,7,4,,,,,,
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,30-34,Female,318,340,300,214,193,211,178,226,196,224,232,192,225,235,249,188,167,204,197
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,40-44,Male,140,95,109,84,64,95,51,68,53,62,88,99,71,91,80,72,54,71,56
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,40-44,Female,231,162,184,141,89,117,61,80,68,88,100,88,105,93,96,83,73,75,82
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,Retired Age Band,Male,,,,,,,,,,,,,,,,,,,
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,20-24,Female,187,165,154,110,157,225,138,147,177,204,232,206,172,192,194,176,155,215,174
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,9-May,Unknown Sex,78,87,77,65,28,29,20,47,31,42,46,69,43,41,45,43,42,29,25
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,Retired Age Band,Female,,,,,,,,,,,,,,,,,,,
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,50+,Female,104,121,109,81,69,89,39,71,49,51,73,65,54,77,88,51,70,60,54
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,4-Jan,Unknown Sex,98,124,88,57,36,50,29,48,61,96,85,105,106,95,121,99,79,79,59
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,Retired Age Band,Unknown Sex,,,,,,,,,,,,,,,,,,,
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,<01,Unknown Sex,,4,,1,3,,,,,1,,,,,,,1,,
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,45-49,Female,88,110,83,66,35,83,48,58,43,45,63,51,46,56,50,47,44,57,47
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,Unknown Age,Male,9,3,3,13,1,5,,1,,,,,1,,,,,,
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,30-34,Male,112,129,110,92,52,86,98,97,94,89,132,104,112,106,108,83,75,82,100
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,<05,Unknown Sex,,,,,,,,,,,,,,,,,,,
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,Unknown Age,Female,12,7,7,6,1,8,2,3,,,,,2,,,,,,
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,20-24,Male,29,39,29,29,12,37,28,22,13,30,21,36,20,24,32,25,16,23,16
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,14-Oct,Unknown Sex,72,61,36,44,15,17,18,23,18,15,25,39,26,28,27,21,18,15,18
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,50+,Male,87,88,81,76,58,76,53,85,56,68,69,100,82,92,84,51,66,42,59
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,15-19,Male,16,27,19,23,3,3,8,1,1,10,6,10,17,4,7,6,6,14,8
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,25-29,Female,334,345,261,187,230,267,222,255,223,290,268,256,260,243,259,205,219,239,241
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,<10,Unknown Sex,,,,,,,,,,,,,,,,,,,1
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,35-39,Male,126,122,123,95,50,81,78,90,75,91,90,119,94,103,90,77,91,81,77
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,25-29,Male,52,92,56,54,37,78,53,66,46,53,80,71,68,52,73,57,57,49,44
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,15-19,Female,52,55,32,38,42,46,40,46,47,62,60,62,66,61,38,52,67,69,59
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,35-39,Female,285,270,245,165,142,161,124,147,125,160,189,167,142,167,181,141,142,134,134
Angola,HTS_TST_POS,Individuals newly tested positive for HIV,45-49,Male,78,66,66,62,30,59,33,49,38,45,61,71,75,52,67,45,40,41,51
Angola,PMTCT_ART,HIV-positive pregnant women who received ART,25-29,Female,,,,,172,276,260,253,210,282,275,222,212,244,239,213,237,224,246
Angola,PMTCT_ART,HIV-positive pregnant women who received ART,50+,Female,,,,,,2,,,,,,,2,,,,,,
Angola,PMTCT_ART,HIV-positive pregnant women who received ART,15-19,Female,,,,,35,65,55,41,50,60,69,39,66,59,47,48,72,80,40
Angola,PMTCT_ART,HIV-positive pregnant women who received ART,14-Oct,Unknown Sex,,,,,9,,,,,,2,4,,3,,,,2,3
Angola,PMTCT_ART,HIV-positive pregnant women who received ART,35-39,Female,,,,,91,113,155,120,148,145,147,139,125,129,142,137,128,125,117
Angola,PMTCT_ART,HIV-positive pregnant women who received ART,40-44,Female,,,,,25,26,24,38,21,38,30,29,35,14,55,22,36,32,48
Angola,PMTCT_ART,HIV-positive pregnant women who received ART,20-24,Female,,,,,138,217,142,164,184,201,204,158,149,162,174,145,161,226,209
